modul_id,titel,semesterempfehlungen,ects,zeitaufwand_stunden,modulart,pruefungsform,pruefungsleistung,zugangsvoraussetzungen,sprache,module_page,kurse
DLBWIRITT,Einführung in das wissenschaftliche Arbeiten für IT und Technik,1,5,150,Methoden/Projektmanagement,Advanced Workbook,Advanced Workbook,keine,Deutsch,21,DLBWIRITT01 - Einführung in das wissenschaftliche Arbeiten für IT und Technik
DLBDSIPWP_D,Einführung in die Programmierung mit Python,1,5,150,Programmierung,Klausur,"Klausur, 90 Minuten",keine,Deutsch,37,DLBDSIPWP01_D - Einführung in die Programmierung mit Python
IGIS-01,Grundlagen der Softwaretechnik,1,5,150,Software Engineering,Klausur,"Klausur, 90 Minuten",keine,Deutsch,13,IGIS01-01 - Grundlagen der Softwaretechnik
DLBFTPPP,Projekt: Programmierung mit Python,1,5,150,Programmierung,Projektpräsentation,Projektpräsentation,keine,Deutsch,44,DLBFTPPP01 - Projekt: Programmierung mit Python
IREN,Requirements Engineering,1,5,150,Software Engineering,Klausur,"Klausur, 90 Minuten",keine,Deutsch,29,IREN01 - Requirements Engineering
IDBS,Datenmodellierung und Datenbanksysteme,2,5,150,Daten/KI,Klausur,"Klausur, 90 Minuten",keine,Deutsch,65,IDBS01 - Datenmodellierung und Datenbanksysteme
DLBINGOPJ-01,Grundlagen der objektorientierten Programmierung mit Java,2,5,150,Programmierung,Klausur,"Klausur, 90 Minuten",keine,Deutsch,58,DLBCSOOPJ01_D - Grundlagen der objektorientierten Programmierung mit Java
IPWA1-01,Programmierung von Webanwendungsoberflächen,2,5,150,Programmierung,Klausur oder Schriftliche Ausarbeitung,"Klausur oder Schriftliche Ausarbeitung: Fallstudie, 90 Minuten",keine,Deutsch,50,IPWA01-01 - Programmierung von Webanwendungsoberflächen
DLBITPEWP-01,Projekt: Einstieg in die Web-Programmierung,2,5,150,Programmierung,Schriftliche Ausarbeitung,Schriftliche Ausarbeitung: Projektbericht,keine,Deutsch,82,DLBITPEWP01-01 - Projekt: Einstieg in die Web-Programmierung
ISPE,Spezifikation,2,5,150,Software Engineering,Klausur,"Klausur, 90 Minuten",keine,Deutsch,74,ISPE01 - Spezifikation
DLBIADPS-01,"Algorithmen, Datenstrukturen und Programmiersprachen",3,5,150,Daten/KI,Advanced Workbook,Advanced Workbook,keine,Deutsch,90,"DLBIADPS01-01 - Algorithmen, Datenstrukturen und Programmiersprachen"
DLBSEPDOCD_D,DevOps und Continuous Delivery,3,5,150,Cloud/DevOps,Schriftliche Ausarbeitung,Schriftliche Ausarbeitung: Fallstudie,keine,Deutsch,98,DLBSEPDOCD01_D - DevOps und Continuous Delivery
DLBMINPAPCC,Projekt: Allgemeine Programmierung mit C/C++,3,5,150,Programmierung,Portfolio,Portfolio,keine,Deutsch,120,DLBMINPAPCC01 - Projekt: Allgemeine Programmierung mit C/C++
IQSS,Qualitätssicherung im Softwareprozess,3,5,150,Software Engineering,Klausur,"Klausur, 90 Minuten",keine,Deutsch,112,IQSS01 - Qualitätssicherung im Softwareprozess
DLBSESA,Software-Architektur,3,5,150,Software Engineering,Schriftliche Ausarbeitung,Schriftliche Ausarbeitung: Fallstudie,keine,Deutsch,106,DLBSESA01 - Software-Architektur
DLBSEPENIT_D,Ethik und Nachhaltigkeit in der IT,4,5,150,Ethik/Gesellschaft,Schriftliche Ausarbeitung,Schriftliche Ausarbeitung: Fallstudie,keine,Deutsch,128,DLBSEPENIT01_D - Ethik und Nachhaltigkeit in der IT
DLBCSEMSE1-01_D,Mobile Software Engineering,4,5,150,Software Engineering,Schriftliche Ausarbeitung,Schriftliche Ausarbeitung: Fallstudie,keine,Deutsch,142,DLBCSEMSE01-01_D - Mobile Software Engineering
ISEF,Projekt: Software Engineering,4,5,150,Software Engineering,Schriftliche Ausarbeitung,Schriftliche Ausarbeitung: Projektbericht,keine,Deutsch,155,ISEF01 - Projekt: Software Engineering
ISSE,Seminar: Software Engineering,4,5,150,Software Engineering,Schriftliche Ausarbeitung,Schriftliche Ausarbeitung: Seminararbeit,keine,Deutsch,149,ISSE01 - Seminar: Software Engineering
DLBWIWTMAS1,Techniken und Methoden der agilen Softwareentwicklung,4,5,150,Sonstiges,Klausur,"Klausur, 90 Minuten",keine,Deutsch,135,DLBWIWTMAS01 - Techniken und Methoden der agilen Softwareentwicklung
DLBDSEAIS1-01_D,Artificial Intelligence,5,5,150,Daten/KI,Klausur,"Klausur, 90 Minuten",keine,Deutsch,260,DLBDSEAIS01-01_D - Artificial Intelligence	 NLP - Verarbeitung natürlicher Sprache
DLBMIAMVR1,"Augmented, Mixed und Virtual Reality",5,5,150,Hardware/IoT/Robotik/XR,Klausur oder Advanced Workbook,"Klausur oder Advanced Workbook, 90 Minuten",keine,Deutsch,177,"DLBMIAMVR01 - Augmented, Mixed und Virtual Reality"
BBWL-01,Betriebswirtschaftslehre,5,5,150,Wirtschaft/Organisation,,,keine,Deutsch,266,BBWL01-01 - BWL I	 BBWL02-01 - BWL II
DLBDBBI,Business Intelligence,5,5,150,Daten/KI,Klausur,"Klausur, 90 Minuten",keine,Deutsch,245,IWBI01 - Business Intelligence
DLBDBCM,Change Management,5,5,150,Methoden/Projektmanagement,Klausur,"Klausur, 90 Minuten",keine,Deutsch,402,DLBWPOCM02 - Change Management
